v_bb,v_cc,v_ce,i_c
0.0,0.0,-2.61e-27,1.3e-30
0.0,1.0,1.0,2.39e-12
0.0,2.0,2.0,4.78e-12
0.0,3.0,3.0,7.21e-12
0.0,4.0,4.0,9.66e-12
0.0,5.0,5.0,1.21e-11
0.0,6.0,6.0,1.46e-11
0.0,7.0,7.0,1.72e-11
0.0,8.0,8.0,1.97e-11
0.0,9.0,9.0,2.23e-11
0.0,10.0,10.0,2.49e-11
0.5,0.0,0.000495,-2.47e-07
0.5,1.0,0.997,1.32e-06
0.5,2.0,2.0,1.34e-06
0.5,3.0,3.0,1.35e-06
0.5,4.0,4.0,1.37e-06
0.5,5.0,5.0,1.39e-06
0.5,6.0,6.0,1.41e-06
0.5,7.0,7.0,1.42e-06
0.5,8.0,8.0,1.44e-06
0.5,9.0,9.0,1.46e-06
0.5,10.0,10.0,1.48e-06
1.0,0.0,0.00391,-1.95e-06
1.0,1.0,0.641,0.00018
1.0,2.0,1.64,0.000182
1.0,3.0,2.63,0.000185
1.0,4.0,3.63,0.000187
1.0,5.0,4.62,0.000189
1.0,6.0,5.62,0.000192
1.0,7.0,6.61,0.000194
1.0,8.0,7.61,0.000197
1.0,9.0,8.6,0.000199
1.0,10.0,9.6,0.000201
1.5,0.0,0.0068,-3.4e-06
1.5,1.0,0.187,0.000407
1.5,2.0,1.06,0.000468
1.5,3.0,2.05,0.000474
1.5,4.0,3.04,0.000481
1.5,5.0,4.03,0.000487
1.5,6.0,5.01,0.000493
1.5,7.0,6.0,0.000499
1.5,8.0,6.99,0.000505
1.5,9.0,7.98,0.000512
1.5,10.0,8.96,0.000518
2.0,0.0,0.00906,-4.53e-06
2.0,1.0,0.142,0.000429
2.0,2.0,0.436,0.000782
2.0,3.0,1.42,0.000792
2.0,4.0,2.39,0.000803
2.0,5.0,3.37,0.000813
2.0,6.0,4.35,0.000823
2.0,7.0,5.33,0.000834
2.0,8.0,6.31,0.000844
2.0,9.0,7.29,0.000855
2.0,10.0,8.27,0.000865
2.5,0.0,0.0108,-5.41e-06
2.5,1.0,0.126,0.000437
2.5,2.0,0.178,0.000911
2.5,3.0,0.755,0.00112
2.5,4.0,1.73,0.00114
2.5,5.0,2.7,0.00115
2.5,6.0,3.67,0.00117
2.5,7.0,4.64,0.00118
2.5,8.0,5.61,0.0012
2.5,9.0,6.58,0.00121
2.5,10.0,7.55,0.00123
3.0,0.0,0.0122,-6.1e-06
3.0,1.0,0.117,0.000442
3.0,2.0,0.154,0.000923
3.0,3.0,0.218,0.00139
3.0,4.0,1.04,0.00148
3.0,5.0,2.01,0.0015
3.0,6.0,2.97,0.00152
3.0,7.0,3.93,0.00154
3.0,8.0,4.89,0.00155
3.0,9.0,5.85,0.00157
3.0,10.0,6.82,0.00159
